Date,FTSE_Close,IV,RV_21d,RV_63d,IV_RV_Spread,IV_Lag1,Crisis_Dummy,VoV,RV_Term_Slope,Time_Trend
2018-05-01,7520.39990234375,15.489999771118164,11.11295110510248,13.813366856259762,4.377048666015684,15.930000305175781,0,2.196830624926518,-2.7004157511572817,21
2018-05-02,7543.2001953125,15.970000267028809,10.840078860677377,13.752383779942914,5.129921406351432,15.489999771118164,0,2.1041945226382794,-2.9123049192655373,22
2018-05-03,7502.7001953125,15.899999618530273,11.219983820362573,13.746313820463559,4.6800157981677,15.970000267028809,0,2.0599529583653022,-2.5263300001009856,23
2018-05-04,7567.10009765625,14.770000457763672,8.776905383236452,13.789357218270412,5.99309507452722,15.899999618530273,0,2.1083535129386566,-5.012451835033961,24
2018-05-08,7565.7998046875,14.710000038146973,8.670549638498963,13.451990327994928,6.039450399648009,14.770000457763672,0,1.9370862561578392,-4.781440689495964,25
2018-05-09,7662.5,13.420000076293945,9.355207722932569,12.483985082443413,4.064792353361376,14.710000038146973,0,1.7377826607916198,-3.1287773595108437,26
2018-05-10,7701.0,13.229999542236328,9.043380645828178,11.963972726637804,4.1866188964081505,13.420000076293945,0,1.6295630170465842,-2.9205920808096266,27
2018-05-11,7724.60009765625,12.649999618530273,8.919675793105956,11.523461831359329,3.7303238254243176,13.229999542236328,0,1.5208029204373867,-2.6037860382533733,28
2018-05-14,7711.0,12.930000305175781,9.020539083973778,11.272836728315843,3.909461221202003,12.649999618530273,0,1.5153963965982702,-2.2522976443420646,29
2018-05-15,7723.0,14.630000114440918,9.004335721639615,11.067578278224548,5.625664392801303,12.930000305175781,0,1.4652084406241561,-2.0632425565849335,30
2018-05-16,7734.2001953125,13.420000076293945,7.888894023480261,11.056643601485638,5.531106052813684,14.630000114440918,0,1.5023431266732024,-3.1677495780053766,31
2018-05-17,7788.0,13.430000305175781,7.981670738764122,11.067365809979703,5.448329566411659,13.420000076293945,0,1.5549002598859567,-3.0856950712155813,32
2018-05-18,7778.7998046875,13.420000076293945,7.434101923081609,11.07235325820325,5.985898153212336,13.430000305175781,0,1.597609383639935,-3.638251335121641,33
2018-05-21,7859.2001953125,13.079999923706055,7.8379938389564,11.132746998264059,5.242006084749654,13.420000076293945,0,1.640930497591986,-3.2947531593076587,34
2018-05-22,7877.5,13.220000267028809,7.809655497352326,11.025628563882819,5.410344769676483,13.079999923706055,0,1.6186339586379876,-3.215973066530493,35
2018-05-23,7788.39990234375,12.579999923706055,9.280445833209406,11.311547976671605,3.299554090496649,13.220000267028809,0,1.6433886872131445,-2.031102143462199,36
2018-05-24,7716.7001953125,12.529999732971191,10.109500466119837,11.474904663481253,2.4204992668513547,12.579999923706055,0,1.500094947436634,-1.365404197361416,37
2018-05-25,7730.2998046875,13.220000267028809,9.676464198278504,11.431924280018379,3.5435360687503046,12.529999732971191,0,1.2814853783446316,-1.7554600817398747,38
